bank_transaction_id,account_id,transaction_timestamp,transaction_date,transaction_type,debit,credit,amount,balance_after_transaction,payment_method,counterparty_name,counterparty_type,reference_number,narration,linked_sales_invoice_id,linked_purchase_invoice_id,reconciliation_status
BNK00000001,ACC-CURRENT-001,2024-07-01T13:09:10,2024-07-01,customer_payment,0.0,4854.47,4854.47,488237.69,UPI,Customer CUS000282,corporate,REF000003140,Payment received - UPI,INV-202407-004200,,matched
BNK00000002,ACC-CURRENT-001,2024-07-01T16:03:08,2024-07-01,customer_payment,0.0,52642.94,52642.94,540880.63,bank_transfer,Customer CUS000982,corporate,REF000008211,Payment received - bank_transfer,INV-202407-003184,,matched
BNK00000003,ACC-CURRENT-001,2024-07-01T17:39:46,2024-07-01,customer_payment,0.0,1454.25,1454.25,542334.88,bank_transfer,Customer CUS000461,small_business,REF000007234,Payment received - bank_transfer,INV-202407-007061,,matched
BNK00000004,ACC-CURRENT-001,2024-07-02T09:33:59,2024-07-02,card_settlement,0.0,18611.98,18611.98,560946.86,credit_card,Payment Gateway Settlement,payment_processor,REF000000708,Card settlement batch (1 txns),,,matched
BNK00000005,ACC-CURRENT-001,2024-07-02T09:33:59,2024-07-02,bank_charges,362.43,0.0,-362.43,560584.43,bank_fee,Bank,bank,REF000000709,Card MDR charges,,,matched
BNK00000006,ACC-CURRENT-001,2024-07-02T12:31:31,2024-07-02,customer_payment,0.0,12217.83,12217.83,572802.26,UPI,Customer CUS000764,retail,REF000005264,Payment received - UPI,INV-202407-000308,,matched
BNK00000007,ACC-CURRENT-001,2024-07-02T13:57:07,2024-07-02,customer_payment,0.0,33871.14,33871.14,606673.4,bank_transfer,Customer CUS000819,small_business,REF000007912,Payment received - bank_transfer,INV-202407-010125,,matched
BNK00000008,ACC-CURRENT-001,2024-07-02T14:00:00,2024-07-02,logistics,6026.26,0.0,-6026.26,600647.13,UPI,Local Courier/Transport,vendor,REF000016972,Freight / local delivery charges,,,matched
BNK00000009,ACC-CURRENT-001,2024-07-02T14:19:11,2024-07-02,customer_payment,0.0,16417.17,16417.17,617064.3,UPI,Customer CUS000359,retail,REF000003495,Payment received - UPI,INV-202407-007148,,matched
BNK00000010,ACC-CURRENT-001,2024-07-02T14:57:31,2024-07-02,customer_payment,0.0,342.09,342.09,617406.39,UPI,Customer CUS000668,retail,REF000004884,Payment received - UPI,INV-202407-006225,,matched
BNK00000011,ACC-CURRENT-001,2024-07-03T11:14:34,2024-07-03,supplier_payment,12620.34,0.0,-12620.34,604786.05,bank_transfer,Skyline Communications 001,supplier,REF000011050,Payment to supplier,,SINV-SUP001-008401,matched
