inventory_transaction_id,timestamp,product_id,transaction_type,quantity_in,quantity_out,linked_purchase_id,linked_sales_id,warehouse,unit_cost,quantity_balance
INVT00000001,2024-07-01 00:00:00,PRD00001,stock_adjustment,6.79,0,,,"Andheri East MIDC, Mumbai",5416.13,6.79
INVT00035407,2024-07-10 13:51:32,PRD00001,sale,0.0,1,,TXN00025204,"Andheri East MIDC, Mumbai",5453.0460891923285,5.79
INVT00012004,2024-07-12 15:55:27,PRD00001,sale,0.0,1,,TXN00002609,"Andheri East MIDC, Mumbai",5499.005729107042,4.79
INVT00015027,2024-07-17 19:29:46,PRD00001,sale,0.0,1,,TXN00005526,"Andheri East MIDC, Mumbai",5423.099241874044,3.79
INVT00031250,2024-07-24 18:33:23,PRD00001,sale,0.0,6,,TXN00021197,"Andheri East MIDC, Mumbai",5453.052662239312,0.0
INVT00000002,2024-07-30 01:59:52,PRD00001,purchase,10.0,0,PUR00000001,,"Andheri East MIDC, Mumbai",5149.44,10.0
INVT00020865,2024-10-04 19:17:07,PRD00001,sale,0.0,1,,TXN00011150,"Andheri East MIDC, Mumbai",5582.07766161015,9.0
INVT00014686,2024-11-02 20:59:55,PRD00001,sale,0.0,1,,TXN00005204,"Andheri East MIDC, Mumbai",5440.27427495559,8.0
INVT00039420,2024-11-03 11:48:03,PRD00001,sale,0.0,1,,TXN00029075,"Andheri East MIDC, Mumbai",5494.873956365145,7.0
INVT00017928,2024-11-12 15:04:55,PRD00001,sale,0.0,1,,TXN00008314,"Andheri East MIDC, Mumbai",5435.961337790692,6.0
INVT00028524,2024-12-26 19:34:53,PRD00001,sale,0.0,1,,TXN00018566,"Andheri East MIDC, Mumbai",5579.22398438743,5.0
INVT00025129,2025-01-21 13:12:44,PRD00001,sale,0.0,1,,TXN00015290,"Andheri East MIDC, Mumbai",5592.120381504922,4.0
INVT00010921,2025-01-21 15:05:53,PRD00001,sale,0.0,1,,TXN00001558,"Andheri East MIDC, Mumbai",5592.120381504922,3.0
INVT00021153,2025-02-19 11:59:02,PRD00001,sale,0.0,1,,TXN00011428,"Andheri East MIDC, Mumbai",5556.907498482033,2.0
INVT00000003,2025-02-24 15:58:32,PRD00001,purchase,9.0,0,PUR00000002,,"Andheri East MIDC, Mumbai",5637.67,11.0
INVT00026298,2025-07-17 18:53:25,PRD00001,sale,0.0,1,,TXN00016408,"Andheri East MIDC, Mumbai",5727.075773193291,10.0
INVT00023743,2025-08-12 11:00:31,PRD00001,sale,0.0,1,,TXN00013946,"Andheri East MIDC, Mumbai",5723.859435506137,9.0
INVT00009775,2025-08-14 17:25:30,PRD00001,sale,0.0,1,,TXN00000455,"Andheri East MIDC, Mumbai",5751.015912085846,8.0
INVT00020680,2025-09-06 18:48:16,PRD00001,sale,0.0,1,,TXN00010968,"Andheri East MIDC, Mumbai",5720.9028169382445,7.0
INVT00033603,2025-09-21 15:12:38,PRD00001,sale,0.0,1,,TXN00023467,"Andheri East MIDC, Mumbai",5664.300218627416,6.0
INVT00031419,2025-11-16 13:33:53,PRD00001,sale,0.0,1,,TXN00021359,"Andheri East MIDC, Mumbai",5857.961027815384,5.0
INVT00039199,2025-11-17 10:06:00,PRD00001,sale,0.0,1,,TXN00028866,"Andheri East MIDC, Mumbai",5819.8439786470535,4.0
INVT00030844,2025-11-26 13:54:11,PRD00001,sale,0.0,1,,TXN00020802,"Andheri East MIDC, Mumbai",5706.516716612832,3.0
INVT00030845,2025-11-29 00:00:00,PRD00001,sales_return,1.0,0,,TXN00020802,"Andheri East MIDC, Mumbai",5706.516716612832,4.0
INVT00039200,2025-12-01 00:00:00,PRD00001,sales_return,1.0,0,,TXN00028866,"Andheri East MIDC, Mumbai",5819.8439786470535,5.0
INVT00028277,2025-12-29 19:53:23,PRD00001,sale,0.0,1,,TXN00018331,"Andheri East MIDC, Mumbai",5862.754584267404,4.0
INVT00035500,2026-01-02 14:52:50,PRD00001,sale,0.0,1,,TXN00025294,"Andheri East MIDC, Mumbai",5785.528479541325,3.0
INVT00000004,2026-01-04 09:39:14,PRD00001,purchase,9.0,0,PUR00000003,,"Andheri East MIDC, Mumbai",5642.81,12.0
INVT00033405,2026-01-07 17:40:40,PRD00001,sale,0.0,1,,TXN00023280,"Andheri East MIDC, Mumbai",5945.348230219804,11.0
INVT00038416,2026-01-30 11:50:04,PRD00001,sale,0.0,6,,TXN00028109,"Andheri East MIDC, Mumbai",5832.9104976337885,5.0
INVT00036797,2026-03-06 18:27:09,PRD00001,sale,0.0,1,,TXN00026548,"Andheri East MIDC, Mumbai",5964.108403595169,4.0
INVT00000005,2026-03-10 20:16:22,PRD00001,purchase,10.0,0,PUR00000004,,"Andheri East MIDC, Mumbai",6154.41,14.0
INVT00028775,2026-03-16 14:10:00,PRD00001,sale,0.0,5,,TXN00018806,"Andheri East MIDC, Mumbai",6002.358630020683,9.0
INVT00009999,2026-04-06 20:36:14,PRD00001,sale,0.0,1,,TXN00000669,"Andheri East MIDC, Mumbai",5905.026611853401,8.0
INVT00032169,2026-05-28 11:04:48,PRD00001,sale,0.0,1,,TXN00022085,"Andheri East MIDC, Mumbai",5980.12625106383,7.0
INVT00016212,2026-06-25 13:20:25,PRD00001,sale,0.0,1,,TXN00006667,"Andheri East MIDC, Mumbai",6035.502209472549,6.0
INVT00000006,2024-07-01 00:00:00,PRD00002,stock_adjustment,17.79,0,,,"Andheri East MIDC, Mumbai",31168.7,17.79
INVT00033962,2024-07-04 17:40:34,PRD00002,sale,0.0,1,,TXN00023815,"Andheri East MIDC, Mumbai",30862.101939825607,16.79
INVT00020997,2024-07-07 10:51:11,PRD00002,sale,0.0,1,,TXN00011278,"Andheri East MIDC, Mumbai",30885.764704681453,15.79
INVT00026216,2024-07-07 17:15:01,PRD00002,sale,0.0,1,,TXN00016328,"Andheri East MIDC, Mumbai",30885.764704681453,14.79
INVT00022286,2024-07-17 14:31:21,PRD00002,sale,0.0,1,,TXN00012523,"Andheri East MIDC, Mumbai",31485.134564689866,13.79
INVT00031595,2024-07-19 18:57:43,PRD00002,sale,0.0,1,,TXN00021530,"Andheri East MIDC, Mumbai",31093.90193569601,12.79
INVT00024794,2024-07-21 20:34:23,PRD00002,sale,0.0,1,,TXN00014968,"Andheri East MIDC, Mumbai",31576.184404088533,11.79
INVT00036783,2024-07-22 18:09:55,PRD00002,sale,0.0,3,,TXN00026534,"Andheri East MIDC, Mumbai",31214.67580908855,8.79
INVT00019131,2024-07-23 18:03:09,PRD00002,sale,0.0,1,,TXN00009478,"Andheri East MIDC, Mumbai",31392.64467928215,7.79
INVT00017198,2024-07-29 16:27:55,PRD00002,sale,0.0,7,,TXN00007607,"Andheri East MIDC, Mumbai",30834.023564763185,0.79
INVT00020901,2024-08-01 14:03:28,PRD00002,sale,0.0,1,,TXN00011186,"Andheri East MIDC, Mumbai",31449.04398799894,0.0
INVT00032932,2024-08-01 19:23:05,PRD00002,sale,0.0,1,,TXN00022826,"Andheri East MIDC, Mumbai",31449.04398799894,0.0
INVT00000007,2024-08-02 17:47:35,PRD00002,purchase,10.0,0,PUR00000005,,"Andheri East MIDC, Mumbai",31659.17,10.0
INVT00031676,2024-08-02 20:13:39,PRD00002,sale,0.0,1,,TXN00021609,"Andheri East MIDC, Mumbai",31184.349615806048,9.0
INVT00039830,2024-08-03 12:26:43,PRD00002,sale,0.0,3,,TXN00029474,"Andheri East MIDC, Mumbai",31579.750030294177,6.0
INVT00026527,2024-08-06 13:39:43,PRD00002,sale,0.0,1,,TXN00016634,"Andheri East MIDC, Mumbai",31556.879318566393,5.0
INVT00038924,2024-08-06 18:55:09,PRD00002,sale,0.0,1,,TXN00028600,"Andheri East MIDC, Mumbai",31556.879318566393,4.0
INVT00027270,2024-08-07 13:32:02,PRD00002,sale,0.0,1,,TXN00017361,"Andheri East MIDC, Mumbai",31045.493079914577,3.0
INVT00020168,2024-08-07 18:00:32,PRD00002,sale,0.0,1,,TXN00010476,"Andheri East MIDC, Mumbai",31045.493079914577,2.0
INVT00020169,2024-08-07 18:00:32,PRD00002,sale,0.0,1,,TXN00010477,"Andheri East MIDC, Mumbai",31045.493079914577,1.0
INVT00000008,2024-08-09 16:48:17,PRD00002,purchase,10.0,0,PUR00000006,,"Andheri East MIDC, Mumbai",27910.07,11.0
INVT00012532,2024-08-09 18:00:09,PRD00002,sale,0.0,1,,TXN00003117,"Andheri East MIDC, Mumbai",30964.038862129913,10.0
INVT00030163,2024-08-11 18:54:36,PRD00002,sale,0.0,1,,TXN00020149,"Andheri East MIDC, Mumbai",31125.998863596033,9.0
INVT00037020,2024-08-15 10:03:22,PRD00002,sale,0.0,1,,TXN00026760,"Andheri East MIDC, Mumbai",31319.79457588201,8.0
INVT00029383,2024-08-17 18:51:35,PRD00002,sale,0.0,1,,TXN00019395,"Andheri East MIDC, Mumbai",31321.97647810572,7.0
INVT00021254,2024-08-23 19:44:35,PRD00002,sale,0.0,1,,TXN00011527,"Andheri East MIDC, Mumbai",31238.317567426926,6.0
INVT00030164,2024-08-25 00:00:00,PRD00002,sales_return,1.0,0,,TXN00020149,"Andheri East MIDC, Mumbai",31125.998863596033,7.0
INVT00015429,2024-08-27 19:27:51,PRD00002,sale,0.0,1,,TXN00005917,"Andheri East MIDC, Mumbai",31008.112139662782,6.0
INVT00017243,2024-08-30 19:16:29,PRD00002,sale,0.0,1,,TXN00007652,"Andheri East MIDC, Mumbai",31070.265112535497,5.0
INVT00000009,2024-08-31 06:01:37,PRD00002,purchase,10.0,0,PUR00000007,,"Andheri East MIDC, Mumbai",31469.13,15.0
INVT00038379,2024-09-01 18:32:56,PRD00002,sale,0.0,5,,TXN00028073,"Andheri East MIDC, Mumbai",31376.090862636498,10.0
INVT00017734,2024-09-03 20:19:58,PRD00002,sale,0.0,7,,TXN00008128,"Andheri East MIDC, Mumbai",31612.619934341008,3.0
INVT00010821,2024-09-07 10:26:26,PRD00002,sale,0.0,1,,TXN00001461,"Andheri East MIDC, Mumbai",31596.07612178986,2.0
INVT00019474,2024-09-08 13:35:04,PRD00002,sale,0.0,2,,TXN00009810,"Andheri East MIDC, Mumbai",31308.723722555835,0.0
INVT00024013,2024-09-09 10:00:00,PRD00002,sale,0.0,1,,TXN00014208,"Andheri East MIDC, Mumbai",31523.426480028316,0.0
INVT00000010,2024-09-10 10:32:09,PRD00002,purchase,9.0,0,PUR00000008,,"Andheri East MIDC, Mumbai",31879.59,9.0
INVT00019333,2024-09-14 13:30:38,PRD00002,sale,0.0,7,,TXN00009673,"Andheri East MIDC, Mumbai",31276.61126425173,2.0
INVT00017510,2024-09-14 13:35:22,PRD00002,sale,0.0,1,,TXN00007910,"Andheri East MIDC, Mumbai",31276.61126425173,1.0
INVT00024857,2024-09-14 13:44:34,PRD00002,sale,0.0,1,,TXN00015030,"Andheri East MIDC, Mumbai",31276.61126425173,0.0
INVT00000011,2024-09-21 22:00:13,PRD00002,purchase,10.0,0,PUR00000009,,"Andheri East MIDC, Mumbai",30573.25,10.0
INVT00010328,2024-09-22 15:02:55,PRD00002,sale,0.0,1,,TXN00000985,"Andheri East MIDC, Mumbai",31388.17738934013,9.0
INVT00029356,2024-09-26 16:17:19,PRD00002,sale,0.0,5,,TXN00019369,"Andheri East MIDC, Mumbai",31755.165110760612,4.0
INVT00000012,2024-09-30 10:33:07,PRD00002,purchase,10.0,0,PUR00000010,,"Andheri East MIDC, Mumbai",32391.4,14.0
INVT00029364,2024-10-02 13:27:03,PRD00002,sale,0.0,6,,TXN00019377,"Andheri East MIDC, Mumbai",30956.90334927669,8.0
INVT00026995,2024-10-03 19:06:47,PRD00002,sale,0.0,1,,TXN00017094,"Andheri East MIDC, Mumbai",30949.64964067758,7.0
INVT00025490,2024-10-03 19:24:01,PRD00002,sale,0.0,1,,TXN00015643,"Andheri East MIDC, Mumbai",30949.64964067758,6.0
INVT00024228,2024-10-03 21:10:20,PRD00002,sale,0.0,1,,TXN00014419,"Andheri East MIDC, Mumbai",30949.64964067758,5.0
INVT00031534,2024-10-04 10:46:55,PRD00002,sale,0.0,1,,TXN00021471,"Andheri East MIDC, Mumbai",31275.96805969994,4.0
INVT00015967,2024-10-04 12:35:19,PRD00002,sale,0.0,1,,TXN00006429,"Andheri East MIDC, Mumbai",31275.96805969994,3.0
INVT00011357,2024-10-05 14:00:36,PRD00002,sale,0.0,1,,TXN00001984,"Andheri East MIDC, Mumbai",30800.43687267472,2.0
INVT00036031,2024-10-06 11:19:38,PRD00002,sale,0.0,4,,TXN00025808,"Andheri East MIDC, Mumbai",32123.660136274222,0.0
INVT00033095,2024-10-06 14:29:21,PRD00002,sale,0.0,1,,TXN00022980,"Andheri East MIDC, Mumbai",32123.660136274222,0.0
INVT00000013,2024-10-09 03:42:32,PRD00002,purchase,10.0,0,PUR00000011,,"Andheri East MIDC, Mumbai",35380.17,10.0
INVT00033527,2024-10-11 10:42:58,PRD00002,sale,0.0,1,,TXN00023399,"Andheri East MIDC, Mumbai",31210.2780614264,9.0
INVT00023655,2024-10-12 15:05:08,PRD00002,sale,0.0,1,,TXN00013860,"Andheri East MIDC, Mumbai",31291.83378835278,8.0
INVT00024229,2024-10-13 00:00:00,PRD00002,sales_return,1.0,0,,TXN00014419,"Andheri East MIDC, Mumbai",30949.64964067758,9.0
INVT00039212,2024-10-13 11:01:24,PRD00002,sale,0.0,1,,TXN00028878,"Andheri East MIDC, Mumbai",31514.992351321052,8.0
INVT00031964,2024-10-14 18:09:24,PRD00002,sale,0.0,1,,TXN00021886,"Andheri East MIDC, Mumbai",31251.633247596626,7.0
