product_id,sku,product_name,category,subcategory,brand,model,unit,mrp,typical_selling_price,minimum_selling_price,typical_purchase_cost,preferred_supplier_id,alternate_supplier_ids,gross_margin_target,weight_kg,volume_liters,product_lifecycle_stage,launch_date,discontinuation_date,demand_score,seasonality_profile,price_sensitivity,substitution_group,return_probability,warranty_months,slow_moving_probability,is_accessory,min_qty_per_txn,max_qty_per_txn
PRD00001,SKU-SMA-00001,Ionix Budget Smartphones IO481,smartphones,budget,Ionix,IO481,pcs,6900.0,6088.99,5524.45,5416.13,SUP021,SUP004|SUP016,0.1105,0.275,0.152,mature,2023-06-09,,0.1407,"{1: 0.959, 2: 0.865, 3: 0.945, 4: 0.938, 5: 1.002, 6: 0.816, 7: 0.927, 8: 1.065, 9: 1.074, 10: 1.441, 11: 1.447, 12: 1.118}",0.513,smartphones:budget,0.0243,12,0.5693,False,1,1
PRD00002,SKU-SMA-00002,Griplex Flagship Smartphones GR281,smartphones,flagship,Griplex,GR281,pcs,45760.0,34320.0,31792.07,31168.7,SUP021,SUP004|SUP016,0.0918,2.67,0.2,growth,2023-12-23,,1.7617,"{1: 1.028, 2: 1.021, 3: 1.15, 4: 1.021, 5: 0.892, 6: 0.85, 7: 0.928, 8: 0.958, 9: 1.204, 10: 1.571, 11: 1.364, 12: 1.119}",0.851,smartphones:flagship,0.032,12,0.2179,False,1,1
PRD00003,SKU-SMA-00003,Ionix Budget Smartphones IO781,smartphones,budget,Ionix,IO781,pcs,56280.0,42210.0,38726.82,37967.47,SUP016,SUP021|SUP004,0.1005,0.18,0.153,mature,2024-08-21,,0.4911,"{1: 1.141, 2: 0.866, 3: 0.99, 4: 0.966, 5: 0.892, 6: 0.932, 7: 0.849, 8: 0.92, 9: 1.083, 10: 1.526, 11: 1.263, 12: 0.973}",0.119,smartphones:budget,0.0394,24,0.4682,False,1,1
PRD00004,SKU-SMA-00004,Wyvern Mid-Range Smartphones WY476,smartphones,mid-range,Wyvern,WY476,pcs,66520.0,56434.0,49868.28,48890.47,SUP004,SUP016|SUP021,0.1337,0.726,1.422,growth,2022-07-04,,1.9778,"{1: 1.066, 2: 1.008, 3: 0.981, 4: 1.041, 5: 0.95, 6: 0.899, 7: 0.985, 8: 0.976, 9: 1.126, 10: 1.576, 11: 1.25, 12: 1.012}",0.443,smartphones:mid-range,0.0499,12,0.3017,False,1,1
PRD00005,SKU-SMA-00005,Ionix Flagship Smartphones IO669,smartphones,flagship,Ionix,IO669,pcs,73810.0,55357.5,48901.2,47942.35,SUP016,SUP021|SUP004,0.134,0.377,0.165,mature,2022-12-05,,0.9022,"{1: 1.063, 2: 0.999, 3: 0.999, 4: 1.012, 5: 1.031, 6: 0.918, 7: 0.93, 8: 0.911, 9: 1.252, 10: 1.517, 11: 1.464, 12: 1.067}",0.772,smartphones:flagship,0.0228,12,0.1039,False,1,1
PRD00006,SKU-SMA-00006,Griplex Flagship Smartphones GR315,smartphones,flagship,Griplex,GR315,pcs,21180.0,16803.13,16273.79,15954.7,SUP021,SUP004|SUP016,0.0505,0.891,0.153,mature,2023-12-09,,1.539,"{1: 1.129, 2: 0.926, 3: 0.966, 4: 1.009, 5: 0.947, 6: 0.912, 7: 0.987, 8: 1.021, 9: 1.133, 10: 1.51, 11: 1.328, 12: 0.97}",0.296,smartphones:flagship,0.0361,24,0.284,False,1,1
PRD00007,SKU-SMA-00007,Ionix Mid-Range Smartphones IO516,smartphones,mid-range,Ionix,IO516,pcs,38890.0,36017.05,34360.29,33686.56,SUP021,SUP016|SUP004,0.0647,1.008,0.27,mature,2026-03-22,,2.7741,"{1: 0.962, 2: 0.979, 3: 1.128, 4: 0.976, 5: 0.937, 6: 0.888, 7: 0.816, 8: 1.007, 9: 1.264, 10: 1.692, 11: 1.226, 12: 1.093}",0.734,smartphones:mid-range,0.0229,12,0.0429,False,1,1
PRD00008,SKU-FEA-00008,Griplex Basic Feature Phones GR705,feature_phones,basic,Griplex,GR705,pcs,2270.0,2177.53,1850.9,1779.04,SUP001,SUP017,0.183,0.714,0.251,mature,2025-10-04,,1.8643,"{1: 0.972, 2: 0.978, 3: 0.918, 4: 0.915, 5: 1.056, 6: 0.989, 7: 1.086, 8: 1.022, 9: 0.907, 10: 0.932, 11: 0.941, 12: 1.095}",0.405,feature_phones:basic,0.017,6,0.2807,False,1,2
PRD00009,SKU-FEA-00009,Griplex Dual-Sim Feature Phones GR156,feature_phones,dual-sim,Griplex,GR156,pcs,1070.0,847.3,728.69,714.4,SUP001,SUP017,0.1569,0.132,0.126,decline,2025-09-27,,1.5013,"{1: 0.976, 2: 1.054, 3: 1.008, 4: 0.937, 5: 0.964, 6: 1.031, 7: 1.035, 8: 0.987, 9: 0.946, 10: 1.044, 11: 0.934, 12: 1.087}",0.171,feature_phones:dual-sim,0.0123,12,0.0354,False,1,2
PRD00010,SKU-FEA-00010,Lumo Dual-Sim Feature Phones LU188,feature_phones,dual-sim,Lumo,LU188,pcs,1620.0,1215.0,1063.11,1042.26,SUP017,SUP001,0.1422,0.385,0.083,introduction,2023-11-20,,0.5489,"{1: 1.056, 2: 0.986, 3: 1.028, 4: 1.071, 5: 1.026, 6: 0.97, 7: 1.033, 8: 1.034, 9: 1.092, 10: 0.974, 11: 0.985, 12: 1.062}",0.63,feature_phones:dual-sim,0.0106,6,0.579,False,1,2
