transaction_id,invoice_number,business_id,transaction_timestamp,transaction_date,transaction_time,financial_year,month,quarter,week,day_of_week,customer_id,customer_type,customer_location,product_id,sku,product_name,category,brand,quantity,unit,mrp,selling_price_per_unit,gross_item_value,discount_type,discount_percentage,discount_amount,taxable_value,gst_rate,cgst,sgst,igst,total_tax,subtotal,total_discount,taxable_amount,invoice_total_tax,invoice_total,payment_method,payment_status,amount_paid,amount_outstanding,payment_date,expected_payment_date,actual_payment_date,days_to_payment,overdue_days,unit_purchase_cost_ref,is_returned,return_date
TXN00000001,INV-202409-000001,BIZ0001,2024-09-24T18:01:11,2024-09-24,18:01:11,FY2024-25,9,3,39,Tuesday,CUS000996,small_business,Dadar,PRD00158,SKU-WEB-00158,Zenith 4K Webcams ZE392,webcams,Zenith,5,pcs,1630.0,1552.14,7760.7,none,0.0,0.0,7760.7,18.0,698.46,698.46,0.0,1396.92,136365.93,9118.11,127247.82,22904.6,150152.42,cash,paid,9157.62,0.0,2024-09-24,2024-09-24,2024-09-24,0.0,0,1267.3064851834463,False,
TXN00000002,INV-202409-000001,BIZ0001,2024-09-24T18:01:11,2024-09-24,18:01:11,FY2024-25,9,3,39,Tuesday,CUS000996,small_business,Dadar,PRD00023,SKU-MON-00023,Uplink Gaming Monitors UP947,monitors,Uplink,5,pcs,26900.0,25721.05,128605.23,negotiated,7.09,9118.11,119487.12,18.0,10753.84,10753.84,0.0,21507.68,136365.93,9118.11,127247.82,22904.6,150152.42,cash,paid,140994.8,0.0,2024-09-24,2024-09-24,2024-09-24,0.0,0,22735.862510718165,False,
TXN00000003,INV-202604-000002,BIZ0001,2026-04-14T10:17:53,2026-04-14,10:17:53,FY2026-27,4,2,16,Tuesday,CUS000391,retail,Kandivali,PRD00021,SKU-TAB-00021,Circuitry Education Tablets CI347,tablets,Circuitry,1,pcs,9070.0,7412.62,7412.62,small,2.2,163.08,7249.54,18.0,652.46,652.46,0.0,1304.92,7412.62,163.08,7249.54,1304.92,8554.46,UPI,paid,8554.46,0.0,2026-04-14,2026-04-14,2026-04-14,0.0,0,6735.296508456202,False,
TXN00000004,INV-202410-000003,BIZ0001,2024-10-17T19:25:37,2024-10-17,19:25:37,FY2024-25,10,4,42,Thursday,CUS000660,small_business,Andheri West,PRD00162,SKU-PRI-00162,Drift Inkjet Printers DR670,printers,Drift,1,pcs,5860.0,5011.03,5011.03,none,0.0,0.0,5011.03,18.0,450.99,450.99,0.0,901.98,30012.19,926.24,29085.95,5235.46,34321.41,UPI,paid,5913.01,0.0,2024-10-19,2024-10-17,2024-10-19,2.0,0,4284.4685439437135,False,
TXN00000005,INV-202410-000003,BIZ0001,2024-10-17T19:25:37,2024-10-17,19:25:37,FY2024-25,10,4,42,Thursday,CUS000660,small_business,Andheri West,PRD00035,SKU-HEA-00035,Kyra Over-Ear Headphones KY817,headphones,Kyra,2,pcs,2490.0,1865.72,3731.44,none,0.0,0.0,3731.44,18.0,335.83,335.83,0.0,671.66,30012.19,926.24,29085.95,5235.46,34321.41,UPI,paid,4403.1,0.0,2024-10-19,2024-10-17,2024-10-19,2.0,0,1425.33816292635,False,
TXN00000006,INV-202410-000003,BIZ0001,2024-10-17T19:25:37,2024-10-17,19:25:37,FY2024-25,10,4,42,Thursday,CUS000660,small_business,Andheri West,PRD00167,SKU-UPS-00167,Novak Line-Interactive Ups Devices NO704,ups_devices,Novak,1,pcs,4670.0,4412.31,4412.31,promotional,5.71,251.94,4160.37,18.0,374.43,374.43,0.0,748.86,30012.19,926.24,29085.95,5235.46,34321.41,UPI,paid,4909.23,0.0,2024-10-19,2024-10-17,2024-10-19,2.0,0,4052.043999053608,False,
TXN00000007,INV-202410-000003,BIZ0001,2024-10-17T19:25:37,2024-10-17,19:25:37,FY2024-25,10,4,42,Thursday,CUS000660,small_business,Andheri West,PRD00074,SKU-KEY-00074,Pulsar Mechanical Keyboards PU948,keyboards,Pulsar,6,pcs,3700.0,2809.57,16857.41,small,4.0,674.3,16183.11,18.0,1456.48,1456.48,0.0,2912.96,30012.19,926.24,29085.95,5235.46,34321.41,UPI,paid,19096.07,0.0,2024-10-19,2024-10-17,2024-10-19,2.0,0,2331.377216442537,False,
TXN00000008,INV-202501-000004,BIZ0001,2025-01-16T17:51:49,2025-01-16,17:51:49,FY2024-25,1,1,3,Thursday,CUS000298,retail,Thane West,PRD00100,SKU-ROU-00100,Ionix Mesh Routers IO526,routers,Ionix,1,pcs,2500.0,2334.11,2334.11,none,0.0,0.0,2334.11,18.0,210.07,210.07,0.0,420.14,2562.86,0.0,2562.86,461.32,3024.18,credit_card,paid,2754.25,0.0,2025-01-16,2025-01-16,2025-01-16,0.0,0,2011.0132257893654,False,
TXN00000009,INV-202501-000004,BIZ0001,2025-01-16T17:51:49,2025-01-16,17:51:49,FY2024-25,1,1,3,Thursday,CUS000298,retail,Thane West,PRD00086,SKU-MIC-00086,Corvex Wireless Mice CO943,mice,Corvex,1,pcs,250.0,228.75,228.75,none,0.0,0.0,228.75,18.0,20.59,20.59,0.0,41.18,2562.86,0.0,2562.86,461.32,3024.18,credit_card,paid,269.93,0.0,2025-01-16,2025-01-16,2025-01-16,0.0,0,175.138706390575,False,
TXN00000010,INV-202408-000005,BIZ0001,2024-08-11T12:57:49,2024-08-11,12:57:49,FY2024-25,8,3,32,Sunday,CUS000008,small_business,Andheri East,PRD00023,SKU-MON-00023,Uplink Gaming Monitors UP947,monitors,Uplink,7,pcs,26900.0,25547.11,178829.8,negotiated,7.49,13394.35,165435.45,18.0,14889.19,14889.19,0.0,29778.38,178829.8,13394.35,165435.45,29778.38,195213.83,bank_transfer,paid,195213.83,0.0,2024-08-11,2024-08-11,2024-08-11,0.0,0,22858.29989876559,False,
TXN00000011,INV-202606-000006,BIZ0001,2026-06-14T10:25:25,2026-06-14,10:25:25,FY2026-27,6,2,24,Sunday,CUS000346,retail,Mulund,PRD00178,SKU-ACC-00178,Flux Screen-Guards Accessories FL164,accessories,Flux,1,pcs,760.0,678.66,678.66,none,0.0,0.0,678.66,12.0,40.72,40.72,0.0,81.44,678.66,0.0,678.66,81.44,760.1,credit_card,paid,760.1,0.0,2026-06-14,2026-06-14,2026-06-14,0.0,0,433.966259788704,False,
