supplier_id,supplier_name,city,state,locality,supplier_type,categories_supplied,payment_terms,credit_days,minimum_order_quantity,bulk_discount_threshold_qty,bulk_discount_percentage,delivery_time_days,reliability_score,price_volatility,preferred_supplier_score,market_weight,products_supplied
SUP001,Skyline Communications 001,Delhi,Delhi,Delhi,wholesaler,monitors|storage_devices|feature_phones|chargers,advance,0,10,61,9.58,2.4,0.573,0.1076,0.65,3.005,PRD00008|PRD00009|PRD00010|PRD00011|PRD00012|PRD00013|PRD00014|PRD00022|PRD00023|PRD00109|PRD00110|PRD00111|PRD00112|PRD00113|PRD00114|PRD00115|PRD00116|PRD00117|PRD00118|PRD00119|PRD00120|PRD00168|PRD00169|PRD00170|PRD00171|PRD00172|PRD00173
SUP002,Shree Technologies 002,Mumbai,Maharashtra,Borivali,local_trader,monitors|laptops|smartwatches,15 days,15,5,25,10.33,4.0,0.92,0.0779,0.852,1.6304,PRD00015|PRD00016|PRD00017|PRD00018|PRD00023|PRD00024|PRD00136|PRD00137|PRD00138|PRD00139|PRD00140|PRD00141|PRD00142|PRD00143
SUP003,Om Traders 003,Mumbai,Maharashtra,Mulund,local_trader,earbuds|ups_devices|power_banks|smartwatches,30 days,30,2,11,9.65,3.6,0.94,0.0339,0.889,1.6949,PRD00044|PRD00045|PRD00046|PRD00047|PRD00048|PRD00049|PRD00050|PRD00051|PRD00052|PRD00053|PRD00054|PRD00055|PRD00056|PRD00057|PRD00058|PRD00059|PRD00060|PRD00061|PRD00102|PRD00103|PRD00104|PRD00106|PRD00108|PRD00136|PRD00137|PRD00138|PRD00139|PRD00140|PRD00141|PRD00142|PRD00143|PRD00163|PRD00164|PRD00165|PRD00166|PRD00167
SUP004,Om Trading Co. 004,Mumbai,Maharashtra,Dombivli,wholesaler,power_banks|smartphones,30 days,30,2,14,3.67,3.2,0.809,0.0557,0.755,0.7092,PRD00001|PRD00002|PRD00003|PRD00004|PRD00005|PRD00006|PRD00007|PRD00105|PRD00106|PRD00107
SUP005,Shree Communications 005,Mumbai,Maharashtra,Vashi,local_trader,smartwatches|speakers,45 days,45,5,21,11.69,1.7,0.863,0.009,0.899,1.9421,PRD00062|PRD00063|PRD00065|PRD00066|PRD00136|PRD00137|PRD00138|PRD00139|PRD00140|PRD00141|PRD00142|PRD00143
SUP006,Silver Digital World 006,Mumbai,Maharashtra,Malad,wholesaler,cables,30 days,30,5,31,2.84,3.0,0.553,0.0123,0.712,1.219,PRD00121|PRD00122|PRD00123|PRD00124|PRD00125|PRD00126|PRD00127|PRD00128|PRD00129|PRD00130|PRD00131|PRD00132|PRD00133|PRD00134|PRD00135
SUP007,National Technologies 007,Mumbai,Maharashtra,Vile Parle,wholesaler,chargers|keyboards,0 days (COD),0,2,10,11.38,2.1,0.893,0.0419,0.865,0.1468,PRD00068|PRD00074|PRD00075|PRD00080|PRD00081|PRD00083|PRD00113
SUP008,Andheri Enterprises 008,Mumbai,Maharashtra,Khar,authorized_distributor,tablets|routers,45 days,45,1,7,4.3,5.0,0.902,0.0334,0.802,0.5206,PRD00019|PRD00020|PRD00021|PRD00095|PRD00096|PRD00097|PRD00098|PRD00099|PRD00100|PRD00101
SUP009,Sagar Mobile Point 009,Mumbai,Maharashtra,Ghatkopar,wholesaler,webcams|accessories|cables|speakers,45 days,45,5,22,9.72,9.9,0.788,0.015,0.794,2.7065,PRD00064|PRD00121|PRD00122|PRD00123|PRD00124|PRD00125|PRD00126|PRD00127|PRD00128|PRD00129|PRD00130|PRD00131|PRD00132|PRD00133|PRD00134|PRD00135|PRD00145|PRD00146|PRD00147|PRD00148|PRD00149|PRD00151|PRD00155|PRD00157|PRD00158|PRD00174|PRD00175|PRD00176|PRD00177|PRD00178|PRD00179|PRD00180
SUP010,Mumbai Digital World 010,Mumbai,Maharashtra,Andheri West,authorized_distributor,televisions|earbuds|monitors,30 days,30,1,3,4.3,6.2,0.547,0.1266,0.578,1.7852,PRD00022|PRD00024|PRD00025|PRD00026|PRD00027|PRD00028|PRD00029|PRD00030|PRD00031|PRD00044|PRD00045|PRD00046|PRD00047|PRD00048|PRD00049|PRD00050|PRD00051|PRD00052|PRD00053|PRD00054|PRD00055|PRD00056|PRD00057|PRD00058|PRD00059|PRD00060|PRD00061|PRD00160|PRD00161|PRD00162
SUP011,Om Traders 011,Ahmedabad,Gujarat,Ahmedabad,authorized_distributor,webcams|storage_devices,30 days,30,50,221,11.25,3.5,0.827,0.0714,0.75,1.2439,PRD00144|PRD00145|PRD00147|PRD00148|PRD00150|PRD00151|PRD00152|PRD00153|PRD00154|PRD00155|PRD00156|PRD00159|PRD00168|PRD00170|PRD00171|PRD00172|PRD00173
SUP012,Suraj Electronics 012,Mumbai,Maharashtra,Chembur,importer,webcams,45 days,45,1,5,8.06,8.3,0.896,0.0304,0.863,7.3151,PRD00144|PRD00145|PRD00146|PRD00147|PRD00148|PRD00149|PRD00150|PRD00151|PRD00152|PRD00153|PRD00154|PRD00155|PRD00156|PRD00157|PRD00158|PRD00159
